Year,Film,Color
1927,Wings,Black and White
1927,7th Heaven,Black and White
1927,The Racket,Black and White
1928,The Broadway Melody,Black and White
1928,Alibi,
1928,Hollywood Revue,
1928,In Old Arizona,
1928,The Patriot,
1929,All Quiet on the Western Front,Black and White
1929,The Big House,Black and White
1929,Disraeli,
1929,The Divorcee,Black and White
1929,The Love Parade,
1930,Cimarron,
1930,East Lynne,
1930,The Front Page,Black and White
1930,Skippy,
1930,Trader Horn,
1931,Grand Hotel,
1931,Arrowsmith,Black and White
1931,Bad Girl,
1931,The Champ,Black and White
1931,Five Star Final,
1931,One Hour with You,Black and White (tinted) | <br> Black and White
1931,Shanghai Express,Black and White
1931,The Smiling Lieutenant,
1932,Cavalcade,Black and White
1932,42nd Street,Black and White
1932,A Farewell to Arms,Black and White
1932,I Am a Fugitive from a Chain Gang,Black and White
1932,Lady for a Day,Black and White
1932,Little Women,
1932,The Private Life of Henry VIII,
1932,She Done Him Wrong,
1932,Smilin' Through,Black and White
1932,State Fair,
1934,It Happened One Night,Black and White
1934,The Barretts of Wimpole Street,
1934,Cleopatra,
1934,Flirtation Walk,Black and White
1934,The Gay Divorcee,Black and White
1934,Here Comes the Navy,
1934,The House of Rothschild,
1934,Imitation of Life,Black and White
1934,One Night of Love,
1934,The Thin Man,Black and White
1934,Viva Villa!,
1934,The White Parade,Black and White
1935,Mutiny on the Bounty,Black and White
1935,Alice Adams,Black and White
1935,Broadway Melody of 1936,
1935,Captain Blood,Black and White
1935,David Copperfield,Black and White
1935,The Informer,Black and White
1935,The Lives of a Bengal Lancer,
1935,A Midsummer Night's Dream,
1935,Les Misérables,
1935,Naughty Marietta,Black and White
1935,Ruggles of Red Gap,Black and White
1935,Top Hat,Black and White
1936,The Great Ziegfeld,
1936,Anthony Adverse,Black and White
1936,Dodsworth,
1936,Libeled Lady,Black and White
1936,Mr. Deeds Goes to Town,
1936,Romeo and Juliet,
1936,San Francisco,Black and White
1936,The Story of Louis Pasteur,
1936,A Tale of Two Cities,
1936,Three Smart Girls,
1937,The Life of Emile Zola,
